,name,r_h_mean,r_h_min,r_h_max,r_h_std,r_h_mad
11,"12Х18Н10Т 0,3 + 12Х18Н10Т 0,3 (IV)",1.0231755436962091,0.896551724137931,1.1757790990871404,0.05278049924689975,0.041574260803410916
12,"12Х18Н10Т 0,3 + 12Х18Н10Т 0,5 (I)",1.2797108266236892,1.0297013917354163,1.4218256383734371,0.06378171262818091,0.05049283224588815
13,"12Х18Н10Т 0,3 + 12Х18Н10Т 0,5 (II)",1.2461788028642413,1.086206896551724,1.4459497129809413,0.06546772751579662,0.05130252565516704
14,"12Х18Н10Т 0,3 + 12Х18Н10Т 0,5 (III)",1.215376531155533,1.0392156862745099,1.420570221974837,0.07735709610043254,0.06345990402955566
15,"12Х18Н10Т 0,3 + 12Х18Н10Т 0,5 (IV)",1.2084015736250746,1.0344827586206897,1.3399411203508675,0.060849046752606356,0.05038115526196938
16,"12Х18Н10Т 0,5 + 12Х18Н10Т 0,5 (I)",1.359435332747542,1.2277227722772277,1.5833094653084758,0.06673305545439781,0.05629151790422299
17,"12Х18Н10Т 0,5 + 12Х18Н10Т 0,5 (II)",1.3876584061118897,1.1896551724137931,1.5354137778210815,0.05626949098925254,0.04466044618499579
18,"12Х18Н10Т 0,5 + 12Х18Н10Т 0,5 (III)",1.391567379151496,1.1978107312993744,1.5611715725954944,0.06426036161959918,0.051826229987348246
19,"12Х18Н10Т 0,5 + 12Х18Н10Т 0,5 (IV)",1.3884867924412805,1.2281985805560849,1.5181070784798005,0.054803664747241965,0.04446178577631819
20,Амг6 1 + Амг6 1 (I),0.6823061058409305,0.5176470588235295,0.8592514298480144,0.06933568242144915,0.05643537330481578
21,Амг6 1 + Амг6 1 (II),0.7567582804105817,0.6104794663699814,0.897757500558982,0.06136493564023387,0.049442864688602324
22,Амг6 1 + Амг6 1 (III),0.7941650611659549,0.603921568627451,1.005225805669737,0.08176198302159388,0.06596719451183698
23,Амг6 1 + Амг6 1 (IV),0.7938967241589191,0.6,0.958474879317241,0.0768448017745535,0.0612766051461681
24,"Амг6 1 + М1 0,8 (I)",0.37319609720580954,0.23076923076923075,0.5344930858096882,0.0658475585005933,0.05423421506706842
